Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
28602,StudNet Bonn,Bonn,2022-02-11T14:35:48.182090Z,296.4942674148315,22.89,6503947.883176831,27056887.22876313,,188.98.69.121
28602,StudNet Bonn,Bonn,2022-02-11T15:36:41.832240Z,296.4942674148315,26.386,14116654.73053909,23017099.838729277,,188.98.69.121
28602,StudNet Bonn,Bonn,2022-02-11T16:37:37.341153Z,296.4942674148315,26.059,11872041.37442123,26906217.827098764,,188.98.69.121
28602,StudNet Bonn,Bonn,2022-02-11T17:38:31.976627Z,296.4942674148315,27.323,22357399.900796663,20628784.162024308,,188.98.69.121
48157,SSSystems ZRH1,Zurich,2022-02-11T18:39:25.996064Z,93.50559719844654,28.773,14836542.309527546,30469995.950971596,,188.98.69.121
48157,SSSystems ZRH1,Zurich,2022-02-11T19:40:20.791429Z,93.50559719844654,29.235,15197993.57108287,23772898.64796659,,188.98.69.121
37567,Netprotect,Frankfurt,2022-02-11T20:41:14.979347Z,229.9869320376853,25.983,22279021.966569904,27209216.01205882,,188.98.69.121
18613,TelemaxX Telekommunikation GmbH,Karlsruhe,2022-02-11T21:42:13.589876Z,107.42644051320912,26.052,21944809.28387816,17447248.26364029,,188.98.69.121
18613,TelemaxX Telekommunikation GmbH,Karlsruhe,2022-02-11T22:43:07.035493Z,107.42644051320912,27.385,29416218.62844162,27510887.69714887,,188.98.69.121
40873,Vodafone DE,Frankfurt,2022-02-11T23:44:00.057054Z,229.9869320376853,28.642,5810495.948408972,23353546.312117945,,188.98.69.121
36366,Pingless.com,Frankfurt,2022-02-12T00:44:55.620466Z,229.9869320376853,24.218,11596603.930922493,30776072.950480323,,188.98.69.121
36366,Pingless.com,Frankfurt,2022-02-12T01:45:52.025318Z,229.9869320376853,25.411,4232850.370875448,28755566.092276275,,188.98.69.121
34530,GGEW net GmbH,Bensheim,2022-02-12T02:46:45.510817Z,183.45880234559672,26.757,9444057.262767712,31608761.95026157,,188.98.69.121
46873,SSSystems,Pratteln,2022-02-12T03:47:43.027809Z,67.46322535869479,29.254,8231734.754804609,31516317.959125932,,188.98.69.121
15874,IWB Telekom,Basel,2022-02-12T04:48:37.288908Z,63.811419269792076,33.63,15831220.193099037,28304183.06187338,,188.98.69.121
46873,SSSystems,Pratteln,2022-02-12T05:49:29.315416Z,67.46322535869479,27.26,13495943.996166982,27630754.847747434,,188.98.69.121
44759,Rockenstein AG,Würzburg,2022-02-12T06:50:27.204241Z,241.51631516025589,24.9,15287598.209606636,30438755.505162634,,188.98.69.121
44759,Rockenstein AG,Würzburg,2022-02-12T07:51:21.679470Z,241.51631516025589,23.667,16497734.961089587,29161486.196206834,,188.98.69.121
